n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,0,0,100,575.3740600587737,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
3,0,1,100,565.6186057034874,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
5,0,2,100,586.6410056726376,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
7,0,3,100,558.1948445071118,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
9,0,4,100,547.9817279285662,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
11,0,5,100,566.4492744677236,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
13,0,6,100,545.4726697706672,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
15,0,7,100,559.9893552210493,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
17,0,8,100,559.814806027398,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
19,0,9,100,532.9672876986472,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
21,0,10,100,561.7245475193039,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.005589
23,0,11,100,542.8272268635884,0.714,0.1726,0.05633,3.2839,2.62934,0.005186,0.988222,0.94783,0.0055891,377.57709671913847,684.4496889119163,0.854,0.138,0.0588,2.876,3.143,0.003086,0.97976,0.950836,0.03083
